Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2023,APR,STATE,6,6,TOTAL,208807000.00
2023,APR,STATE,16,6,TOTAL,86452000.00
2023,APR,STATE,17,6,TOTAL,5068000.00
2023,APR,STATE,19,6,TOTAL,31512000.00
2023,APR,STATE,27,6,TOTAL,69728000.00
2023,APR,STATE,34,6,TOTAL,4889000.00
2023,APR,STATE,35,6,TOTAL,79038000.00
2023,APR,STATE,36,6,TOTAL,66256000.00
2023,APR,STATE,39,6,TOTAL,20510000.00
2023,APR,STATE,,6,TOTAL,215206000.00
2023,APR,STATE,42,6,TOTAL,39420000.00
2023,APR,STATE,46,6,TOTAL,43253000.00
2023,APR,STATE,50,6,TOTAL,11279000.00
2023,APR,STATE,55,6,TOTAL,289699000.00
2023,FEB,STATE,6,6,TOTAL,201881000.00
2023,FEB,STATE,16,6,TOTAL,72363000.00
2023,FEB,STATE,17,6,TOTAL,4865000.00
2023,FEB,STATE,19,6,TOTAL,31219000.00
2023,FEB,STATE,27,6,TOTAL,65560000.00
2023,FEB,STATE,34,6,TOTAL,4390000.00
2023,FEB,STATE,35,6,TOTAL,74094000.00
2023,FEB,STATE,36,6,TOTAL,66098000.00
2023,FEB,STATE,39,6,TOTAL,19828000.00
2023,FEB,STATE,,6,TOTAL,196281000.00
2023,FEB,STATE,42,6,TOTAL,38358000.00
2023,FEB,STATE,46,6,TOTAL,42132000.00
2023,FEB,STATE,50,6,TOTAL,10819000.00
2023,FEB,STATE,55,6,TOTAL,272374000.00
2023,JAN,STATE,6,6,TOTAL,203976000.00
2023,JAN,STATE,16,6,TOTAL,89502000.00
2023,JAN,STATE,17,6,TOTAL,5505000.00
2023,JAN,STATE,19,6,TOTAL,32903000.00
2023,JAN,STATE,27,6,TOTAL,70870000.00
2023,JAN,STATE,34,6,TOTAL,5717000.00
2023,JAN,STATE,35,6,TOTAL,95543000.00
2023,JAN,STATE,36,6,TOTAL,71829000.00
2023,JAN,STATE,39,6,TOTAL,22913000.00
2023,JAN,STATE,,6,TOTAL,259418000.00
2023,JAN,STATE,42,6,TOTAL,38038000.00
2023,JAN,STATE,50,6,TOTAL,12741000.00
2023,JAN,STATE,55,6,TOTAL,296382000.00
2023,MAR,STATE,6,6,TOTAL,219163000.00
2023,MAR,STATE,16,6,TOTAL,91789000.00
2023,MAR,STATE,17,6,TOTAL,5165000.00
2023,MAR,STATE,19,6,TOTAL,34124000.00
2023,MAR,STATE,27,6,TOTAL,71875000.00
2023,MAR,STATE,34,6,TOTAL,5723000.00
2023,MAR,STATE,35,6,TOTAL,83065000.00
2023,MAR,STATE,36,6,TOTAL,75343000.00
2023,MAR,STATE,39,6,TOTAL,22037000.00
2023,MAR,STATE,,6,TOTAL,221694000.00
2023,MAR,STATE,42,6,TOTAL,42074000.00
2023,MAR,STATE,46,6,TOTAL,45897000.00
2023,MAR,STATE,50,6,TOTAL,11015000.00
2023,MAR,STATE,55,6,TOTAL,302954000.00
2022,APR,STATE,6,6,TOTAL,205382000.00
2022,APR,STATE,16,6,TOTAL,86418000.00
2022,APR,STATE,17,6,TOTAL,5913000.00
2022,APR,STATE,19,6,TOTAL,31635000.00
2022,APR,STATE,27,6,TOTAL,68704000.00
