Year,Geo_Level,State_ANSI,Commodity_ID,Value
2022,STATE,1,2,400000.00
2022,STATE,4,2,1035000.00
2022,STATE,5,2,1120000.00
2022,STATE,6,2,11590000.00
2022,STATE,8,2,1302000.00
2022,STATE,12,2,7350000.00
2022,STATE,13,2,3296000.00
2022,STATE,16,2,2726000.00
2022,STATE,17,2,470000.00
2022,STATE,18,2,567000.00
2022,STATE,19,2,2448000.00
2022,STATE,20,2,372000.00
2022,STATE,21,2,252000.00
2022,STATE,22,2,2562000.00
2022,STATE,23,2,230000.00
2022,STATE,26,2,3362000.00
2022,STATE,27,2,5202000.00
2022,STATE,28,2,1995000.00
2022,STATE,29,2,328000.00
2022,STATE,30,2,7503000.00
2022,STATE,31,2,1496000.00
2022,STATE,34,2,624000.00
2022,STATE,36,2,2862000.00
2022,STATE,37,2,507000.00
2022,STATE,38,2,31200000.00
2022,STATE,39,2,1254000.00
2022,STATE,41,2,3404000.00
2022,STATE,,2,3316000.00
2022,STATE,42,2,1058000.00
2022,STATE,45,2,507000.00
2022,STATE,46,2,7215000.00
2022,STATE,47,2,423000.00
2022,STATE,48,2,8321000.00
2022,STATE,49,2,1196000.00
2022,STATE,50,2,282000.00
2022,STATE,51,2,266000.00
2022,STATE,53,2,2752000.00
2022,STATE,54,2,273000.00
2022,STATE,55,2,2915000.00
2022,STATE,56,2,1350000.00
2021,STATE,1,2,320000.00
2021,STATE,4,2,1040000.00
2021,STATE,5,2,850000.00
2021,STATE,6,2,9570000.00
2021,STATE,8,2,1160000.00
2021,STATE,12,2,8492000.00
2021,STATE,13,2,3264000.00
2021,STATE,15,2,1860000.00
2021,STATE,16,2,3000000.00
2021,STATE,17,2,460000.00
2021,STATE,18,2,520000.00
2021,STATE,19,2,2090000.00
2021,STATE,20,2,294000.00
2021,STATE,21,2,259000.00
2021,STATE,22,2,2146000.00
2021,STATE,23,2,374000.00
2021,STATE,26,2,5100000.00
2021,STATE,27,2,7125000.00
2021,STATE,28,2,1775000.00
2021,STATE,29,2,280000.00
2021,STATE,30,2,6669000.00
2021,STATE,31,2,1786000.00
2021,STATE,34,2,525000.00
2021,STATE,36,2,3021000.00
2021,STATE,37,2,507000.00
2021,STATE,38,2,28325000.00
2021,STATE,39,2,1024000.00
2021,STATE,41,2,2666000.00
2021,STATE,,2,1349000.00
2021,STATE,42,2,840000.00
2021,STATE,45,2,630000.00
2021,STATE,46,2,12250000.00
2021,STATE,47,2,448000.00
2021,STATE,48,2,7672000.00
2021,STATE,49,2,1023000.00
2021,STATE,50,2,282000.00
2021,STATE,51,2,240000.00
2021,STATE,53,2,3072000.00
2021,STATE,54,2,258000.00
2021,STATE,55,2,1974000.00
2021,STATE,56,2,2204000.00
2020,STATE,1,2,273000.00
2020,STATE,4,2,900000.00
2020,STATE,5,2,980000.00
2020,STATE,6,2,13760000.00
2020,STATE,8,2,1230000.00
2020,STATE,12,2,8832000.00
2020,STATE,13,2,3434000.00
2020,STATE,15,2,1575000.00
2020,STATE,16,2,3745000.00
2020,STATE,17,2,520000.00
2020,STATE,18,2,495000.00
2020,STATE,19,2,2030000.00
2020,STATE,20,2,496000.00
2020,STATE,21,2,231000.00
2020,STATE,22,2,2277000.00
2020,STATE,23,2,300000.00
2020,STATE,26,2,4465000.00
2020,STATE,27,2,5940000.00
2020,STATE,28,2,1825000.00
2020,STATE,29,2,369000.00
2020,STATE,30,2,8910000.00
2020,STATE,31,2,1924000.00
2020,STATE,34,2,434000.00
2020,STATE,36,2,3248000.00
2020,STATE,37,2,456000.00
2020,STATE,38,2,38610000.00
2020,STATE,39,2,1200000.00
2020,STATE,41,2,2755000.00
2020,STATE,,2,1375000.00
2020,STATE,42,2,912000.00
2020,STATE,45,2,736000.00
2020,STATE,46,2,14945000.00
2020,STATE,47,2,357000.00
2020,STATE,48,2,8949000.00
2020,STATE,49,2,952000.00
2020,STATE,50,2,282000.00
2020,STATE,51,2,200000.00
2020,STATE,53,2,3626000.00
2020,STATE,54,2,276000.00
2020,STATE,55,2,2250000.00
2020,STATE,56,2,1520000.00
2019,STATE,1,2,294000.00
2019,STATE,4,2,1058000.00
2019,STATE,5,2,1100000.00
2019,STATE,6,2,16080000.00
2019,STATE,8,2,1472000.00
2019,STATE,12,2,9225000.00
2019,STATE,13,2,3366000.00
2019,STATE,15,2,1280000.00
2019,STATE,16,2,2944000.00
2019,STATE,17,2,429000.00
2019,STATE,18,2,495000.00
2019,STATE,19,2,2090000.00
2019,STATE,20,2,553000.00
2019,STATE,21,2,246000.00
2019,STATE,22,2,3888000.00
2019,STATE,23,2,525000.00
2019,STATE,26,2,4700000.00
2019,STATE,27,2,6962000.00
2019,STATE,28,2,1760000.00
2019,STATE,29,2,430000.00
2019,STATE,30,2,14878000.00
2019,STATE,31,2,2028000.00
2019,STATE,34,2,420000.00
2019,STATE,36,2,3422000.00
2019,STATE,37,2,588000.00
2019,STATE,38,2,33800000.00
2019,STATE,39,2,1005000.00
2019,STATE,41,2,2784000.00
2019,STATE,,2,1418000.00
2019,STATE,42,2,950000.00
2019,STATE,45,2,752000.00
2019,STATE,46,2,19440000.00
2019,STATE,47,2,456000.00
2019,STATE,48,2,7560000.00
2019,STATE,49,2,638000.00
2019,STATE,50,2,288000.00
2019,STATE,51,2,195000.00
2019,STATE,53,2,2835000.00
2019,STATE,54,2,222000.00
2019,STATE,55,2,2162000.00
2019,STATE,56,2,2184000.00
2018,STATE,1,2,270000.00
2018,STATE,4,2,912000.00
2018,STATE,5,2,1400000.00
2018,STATE,6,2,13735000.00
2018,STATE,8,2,1488000.00
2018,STATE,12,2,10535000.00
2018,STATE,13,2,3332000.00
2018,STATE,15,2,1751000.00
2018,STATE,16,2,2976000.00
2018,STATE,17,2,451000.00
2018,STATE,18,2,322000.00
2018,STATE,19,2,1862000.00
2018,STATE,20,2,365000.00
2018,STATE,21,2,164000.00
2018,STATE,22,2,3735000.00
2018,STATE,23,2,384000.00
2018,STATE,26,2,4268000.00
2018,STATE,27,2,7259000.00
2018,STATE,28,2,1740000.00
2018,STATE,29,2,405000.00
2018,STATE,30,2,14720000.00
2018,STATE,31,2,2360000.00
2018,STATE,34,2,403000.00
2018,STATE,36,2,2688000.00
2018,STATE,37,2,330000.00
2018,STATE,38,2,39600000.00
2018,STATE,39,2,1022000.00
2018,STATE,41,2,3255000.00
2018,STATE,,2,1399000.00
2018,STATE,42,2,836000.00
2018,STATE,45,2,768000.00
2018,STATE,46,2,11985000.00
2018,STATE,47,2,322000.00
2018,STATE,48,2,7392000.00
2018,STATE,49,2,1066000.00
2018,STATE,50,2,336000.00
2018,STATE,51,2,160000.00
2018,STATE,53,2,3311000.00
